FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"PR, Salinas",2025,All,72123,27,5 to 49,"PR, Salinas Municipality"
"PR, San German",2025,All,72125,5,5 to 49,"PR, San German Municipality"
"PR, San Sabastian",2025,All,72131,17,5 to 49,"PR, San Sebastian Municipality"
"PR, Santa Isabel",2025,All,72133,19,5 to 49,"PR, Santa Isabel Municipality"
"PR, Trujillo Alto",2025,All,72139,43,5 to 49,"PR, Trujillo Alto Municipality"
"PR, Utuado",2025,All,72141,24,5 to 49,"PR, Utuado Municipality"
"PR, Vega Alta",2025,All,72143,38,5 to 49,"PR, Vega Alta Municipality"
"PR, Yabucoa",2025,All,72151,14,5 to 49,"PR, Yabucoa Municipality"
"PR, Yauco",2025,All,72153,18,5 to 49,"PR, Yauco Municipality"
"VI, St. Croix",2025,All,78010,47,5 to 49,"VI, Saint Croix Island"
"CA, Los Angeles",2025,All,06037,65,50 to 249,CA
"AS, Eastern",2025,All,60010,236,50 to 249,"AS, Eastern District"
"PR, Adjuntas",2025,All,72001,53,50 to 249,"PR, Adjuntas Municipality"
"PR, Aguas Buenas",2025,All,72007,84,50 to 249,"PR, Aguas Buenas Municipality"
"PR, Arecibo",2025,All,72013,70,50 to 249,"PR, Arecibo Municipality"
"PR, Bayamon",2025,All,72021,246,50 to 249,"PR, Bayamon Municipality"
"PR, Canovanas",2025,All,72029,55,50 to 249,"PR, Canovanas Municipality"
"PR, Carolina",2025,All,72031,166,50 to 249,"PR, Carolina Municipality"
"PR, Catano",2025,All,72033,53,50 to 249,"PR, Catano Municipality"
"PR, Ciales Municipality",2025,All,72039,51,50 to 249,"PR, Ciales Municipality"
"PR, Coamo",2025,All,72043,55,50 to 249,"PR, Coamo Municipality"
"PR, Guayama",2025,All,72057,95,50 to 249,"PR, Guayama Municipality"
"PR, Guaynabo",2025,All,72061,134,50 to 249,"PR, Guaynabo Municipality"
"PR, Juncos",2025,All,72077,61,50 to 249,"PR, Juncos Municipality"
"PR, Manati",2025,All,72091,62,50 to 249,"PR, Manati Municipality"
"PR, Ponce",2025,All,72113,62,50 to 249,"PR, Ponce Municipality"
"PR, San Lorenzo",2025,All,72129,70,50 to 249,"PR, San Lorenzo Municipality"
"PR, Toa Alta",2025,All,72135,63,50 to 249,"PR, Toa Alta Municipality"
"PR, Toa Baja",2025,All,72137,130,50 to 249,"PR, Toa Baja Municipality"
"PR, Vega Baja",2025,All,72145,60,50 to 249,"PR, Vega Baja Municipality"
"FL, Miami-Dade",2025,All,12086,327,250+,"FL, Miami-Dade County"
"AS, Western",2025,All,60050,375,250+,"AS, Western District"
"PR, Caguas",2025,All,72025,278,250+,"PR, Caguas Municipality"
"PR, San Juan",2025,All,72127,397,250+,"PR, San Juan Municipality"
