FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"KS, Douglas",2025,All,20045,1 to 4,1 to 4,"KS, Douglas County"
"KS, Finney",2025,All,20055,1 to 4,1 to 4,"KS, Finney County"
"KS, Hamilton",2025,All,20075,1 to 4,1 to 4,"KS, Hamilton County"
"KS, Johnson",2025,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KY, Boyd",2025,All,21019,1 to 4,1 to 4,"KY, Boyd County"
"KY, Clark",2025,All,21049,1 to 4,1 to 4,"KY, Clark County"
"LA, Caddo Parish",2025,All,22017,1 to 4,1 to 4,"LA, Caddo Parish"
"LA, Jefferson Parish",2025,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
"LA, Orleans Parish",2025,All,22071,1 to 4,1 to 4,"LA, Orleans Parish"
"ME, Cumberland",2025,All,23005,1 to 4,1 to 4,"ME, Cumberland County"
"ME, Knox",2025,All,23013,1 to 4,1 to 4,"ME, Knox County"
"MD, Anne Arundel",2025,All,24003,1 to 4,1 to 4,"MD, Anne Arundel County"
"MD, Baltimore",2025,All,24005,1 to 4,1 to 4,"MD, Baltimore County"
"MD, Calvert",2025,All,24009,1 to 4,1 to 4,"MD, Calvert County"
"MD, Howard",2025,All,24027,1 to 4,1 to 4,"MD, Howard County"
"MD, Prince Georges",2025,All,24033,1 to 4,1 to 4,"MD, Prince George's County"
"MD, Baltimore City",2025,All,24510,1 to 4,1 to 4,"MD, Baltimore City"
"MA, Bristol",2025,All,25005,1 to 4,1 to 4,"MA, Bristol County"
"MA, Franklin",2025,All,25011,1 to 4,1 to 4,"MA, Franklin County"
"MA, Plymouth",2025,All,25023,1 to 4,1 to 4,"MA, Plymouth County"
"MA, Worcester",2025,All,25027,1 to 4,1 to 4,"MA, Worcester County"
"MI, Lenawee",2025,All,26091,1 to 4,1 to 4,"MI, Lenawee County"
"MI, Livingston",2025,All,26093,1 to 4,1 to 4,"MI, Livingston County"
"MI, Oakland",2025,All,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, Washtenaw",2025,All,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MI, Wayne",2025,All,26163,1 to 4,1 to 4,"MI, Wayne County"
"MN, Carver",2025,All,27019,1 to 4,1 to 4,"MN, Carver County"
"MN, Clay",2025,All,27027,1 to 4,1 to 4,"MN, Clay County"
"MN, Dakota",2025,All,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Hennepin",2025,All,27053,1 to 4,1 to 4,"MN, Hennepin County"
"MN, Mcleod",2025,All,27085,1 to 4,1 to 4,"MN, McLeod County"
"MN, Ramsey",2025,All,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, Sherburne",2025,All,27141,1 to 4,1 to 4,"MN, Sherburne County"
"MN, Stearns",2025,All,27145,1 to 4,1 to 4,"MN, Stearns County"
"MN, Washington",2025,All,27163,1 to 4,1 to 4,"MN, Washington County"
"MN, Wright",2025,All,27171,1 to 4,1 to 4,"MN, Wright County"
"MS, Lamar",2025,All,28073,1 to 4,1 to 4,"MS, Lamar County"
"MO, Adair",2025,All,29001,1 to 4,1 to 4,"MO, Adair County"
"MO, Carroll",2025,All,29033,1 to 4,1 to 4,"MO, Carroll County"
